czas: 0.0	wynik próbki: 1.0
czas: 0.0001	wynik próbki: 1.0000022696345698
czas: 0.0002	wynik próbki: 1.0000090785382758
czas: 0.0003	wynik próbki: 1.000020426711086
czas: 0.0004	wynik próbki: 1.0000363141528743
czas: 0.0005	wynik próbki: 1.000056740863315
czas: 0.0006	wynik próbki: 1.0000817068417305
czas: 0.0007	wynik próbki: 1.0001112120868987
czas: 0.0008	wynik próbki: 1.000145256596816
czas: 0.0009	wynik próbki: 1.000183840368418
czas: 0.001	wynik próbki: 1.0002269633972567
czas: 0.0011	wynik próbki: 1.000274625677135
czas: 0.0012	wynik próbki: 1.0003268271996981
czas: 0.0013	wynik próbki: 1.0003835679539823
czas: 0.0014	wynik próbki: 1.0004448479259191
czas: 0.0015	wynik próbki: 1.0005106670977997
czas: 0.0016	wynik próbki: 1.0005810254476921
czas: 0.0017	wynik próbki: 1.000655922948819
czas: 0.0018	wynik próbki: 1.0007353595688908
czas: 0.0019	wynik próbki: 1.0008193352693953
czas: 0.002	wynik próbki: 1.000907850004846
czas: 0.0021	wynik próbki: 1.001000903721986
czas: 0.0022	wynik próbki: 1.0010984963589489
czas: 0.0023	wynik próbki: 1.0012006278443781
czas: 0.0024	wynik próbki: 1.0013072980965012
czas: 0.0025	wynik próbki: 1.001418507022163
czas: 0.0026	wynik próbki: 1.0015342545158152
czas: 0.0027	wynik próbki: 1.0016545404584607
czas: 0.0028	wynik próbki: 1.00177936471656
czas: 0.0029	wynik próbki: 1.0019087271408897
czas: 0.003	wynik próbki: 1.0020426275653602
czas: 0.0031	wynik próbki: 1.0021810658057901
czas: 0.0032	wynik próbki: 1.0023240416586385
czas: 0.0033	wynik próbki: 1.002471554899693
czas: 0.0034	wynik próbki: 1.0026236052827149
czas: 0.0035	wynik próbki: 1.0027801925380428
czas: 0.0036	wynik próbki: 1.0029413163711516
czas: 0.0037	wynik próbki: 1.0031069764611698
czas: 0.0038	wynik próbki: 1.0032771724593534
czas: 0.0039	wynik próbki: 1.003451903987517
czas: 0.004	wynik próbki: 1.0036311706364212
czas: 0.0041	wynik próbki: 1.0038149719641187
czas: 0.0042	wynik próbki: 1.0040033074942571
czas: 0.0043	wynik próbki: 1.004196176714338
czas: 0.0044	wynik próbki: 1.0043935790739336
czas: 0.0045	wynik próbki: 1.0045955139828608
czas: 0.0046	wynik próbki: 1.0048019808093132
czas: 0.0047	wynik próbki: 1.0050129788779492
czas: 0.0048	wynik próbki: 1.0052285074679372
czas: 0.0049	wynik próbki: 1.00544856581096
czas: 0.005	wynik próbki: 1.0056731530891743
czas: 0.0051	wynik próbki: 1.0059022684331287
czas: 0.0052	wynik próbki: 1.006135910919639
czas: 0.0053	wynik próbki: 1.0063740795696212
czas: 0.0054	wynik próbki: 1.0066167733458815
czas: 0.0055	wynik próbki: 1.0068639911508632
czas: 0.0056	wynik próbki: 1.0071157318243535
czas: 0.0057	wynik próbki: 1.0073719941411443
czas: 0.0058	wynik próbki: 1.0076327768086544
czas: 0.0059	wynik próbki: 1.0078980784645069
czas: 0.006	wynik próbki: 1.0081678976740647
czas: 0.0061	wynik próbki: 1.0084422329279252
czas: 0.0062	wynik próbki: 1.0087210826393709
czas: 0.0063	wynik próbki: 1.0090044451417794
czas: 0.0064	wynik próbki: 1.0092923186859903
czas: 0.0065	wynik próbki: 1.0095847014376316
czas: 0.0066	wynik próbki: 1.009881591474402
czas: 0.0067	wynik próbki: 1.0101829867833139
czas: 0.0068	wynik próbki: 1.0104888852578924
czas: 0.0069	wynik próbki: 1.0107992846953346
czas: 0.007	wynik próbki: 1.0111141827936259
czas: 0.0071	wynik próbki: 1.0114335771486151
czas: 0.0072	wynik próbki: 1.011757465251049
czas: 0.0073	wynik próbki: 1.0120858444835643
czas: 0.0074	wynik próbki: 1.0124187121176396
czas: 0.0075	wynik próbki: 1.012756065310505
czas: 0.0076	wynik próbki: 1.0130979011020127
czas: 0.0077	wynik próbki: 1.0134442164114639
czas: 0.0078	wynik próbki: 1.0137950080343978
czas: 0.0079	wynik próbki: 1.014150272639338
czas: 0.008	wynik próbki: 1.0145100067644994
czas: 0.0081	wynik próbki: 1.0148742068144536
czas: 0.0082	wynik próbki: 1.0152428690567565
czas: 0.0083	wynik próbki: 1.015615989618532
czas: 0.0084	wynik próbki: 1.0159935644830203
czas: 0.0085	wynik próbki: 1.0163755894860815
czas: 0.0086	wynik próbki: 1.0167620603126646
czas: 0.0087	wynik próbki: 1.0171529724932324
czas: 0.0088	wynik próbki: 1.0175483214001504
czas: 0.0089	wynik próbki: 1.0179481022440355
czas: 0.009	wynik próbki: 1.0183523100700647
czas: 0.0091	wynik próbki: 1.0187609397542472
czas: 0.0092	wynik próbki: 1.0191739859996558
czas: 0.0093	wynik próbki: 1.0195914433326216
czas: 0.0094	wynik próbki: 1.0200133060988896
czas: 0.0095	wynik próbki: 1.0204395684597365
czas: 0.0096	wynik próbki: 1.0208702243880514
czas: 0.0097	wynik próbki: 1.0213052676643786
czas: 0.0098	wynik próbki: 1.021744691872923
czas: 0.0099	wynik próbki: 1.0221884903975178
czas: 0.01	wynik próbki: 1.0226366564175586
czas: 0.0101	wynik próbki: 1.023089182903897
czas: 0.0102	wynik próbki: 1.0235460626147004
czas: 0.0103	wynik próbki: 1.024007288091275
czas: 0.0104	wynik próbki: 1.0244728516538542
czas: 0.0105	wynik próbki: 1.02494274539735
czas: 0.0106	wynik próbki: 1.025416961187072
czas: 0.0107	wynik próbki: 1.0258954906544075
czas: 0.0108	wynik próbki: 1.0263783251924719
czas: 0.0109	wynik próbki: 1.0268654559517219
czas: 0.011	wynik próbki: 1.0273568738355356
czas: 0.0111	wynik próbki: 1.0278525694957608
czas: 0.0112	wynik próbki: 1.0283525333282273
czas: 0.0113	wynik próbki: 1.0288567554682302
czas: 0.0114	wynik próbki: 1.0293652257859771
czas: 0.0115	wynik próbki: 1.029877933882007
czas: 0.0116	wynik próbki: 1.0303948690825746
czas: 0.0117	wynik próbki: 1.0309160204350063
czas: 0.0118	wynik próbki: 1.031441376703023
czas: 0.0119	wynik próbki: 1.0319709263620347
czas: 0.012	wynik próbki: 1.0325046575944044
czas: 0.0121	wynik próbki: 1.033042558284683
czas: 0.0122	wynik próbki: 1.0335846160148139
czas: 0.0123	wynik próbki: 1.0341308180593125
czas: 0.0124	wynik próbki: 1.0346811513804137
czas: 0.0125	wynik próbki: 1.0352356026231964
czas: 0.0126	wynik próbki: 1.0357941581106755
czas: 0.0127	wynik próbki: 1.0363568038388744
czas: 0.0128	wynik próbki: 1.0369235254718654
czas: 0.0129	wynik próbki: 1.0374943083367894
czas: 0.013	wynik próbki: 1.038069137418847
czas: 0.0131	wynik próbki: 1.03864799735627
czas: 0.0132	wynik próbki: 1.0392308724352641
czas: 0.0133	wynik próbki: 1.0398177465849336
czas: 0.0134	wynik próbki: 1.0404086033721804
czas: 0.0135	wynik próbki: 1.0410034259965826
czas: 0.0136	wynik próbki: 1.0416021972852518
czas: 0.0137	wynik próbki: 1.0422048996876703
czas: 0.0138	wynik próbki: 1.0428115152705082
czas: 0.0139	wynik próbki: 1.0434220257124214
czas: 0.014	wynik próbki: 1.0440364122988315
czas: 0.0141	wynik próbki: 1.0446546559166883
czas: 0.0142	wynik próbki: 1.045276737049214
czas: 0.0143	wynik próbki: 1.0459026357706336
czas: 0.0144	wynik próbki: 1.0465323317408877
czas: 0.0145	wynik próbki: 1.0471658042003313
czas: 0.0146	wynik próbki: 1.04780303196442
czas: 0.0147	wynik próbki: 1.0484439934183811
