czas: 0.0	wynik próbki: 0.0
czas: 0.0001	wynik próbki: 1.973925197947501e-07
czas: 0.0002	wynik próbki: 7.895752604499781e-07
czas: 0.0003	wynik próbki: 1.7765637657442421e-06
czas: 0.0004	wynik próbki: 3.1583839418603167e-06
czas: 0.0005	wynik próbki: 4.935072057212112e-06
czas: 0.0006	wynik próbki: 7.106674742200666e-06
czas: 0.0007	wynik próbki: 9.673248988897536e-06
czas: 0.0008	wynik próbki: 1.2634862150653374e-05
czas: 0.0009	wynik próbki: 1.599159194162908e-05
czas: 0.001	wynik próbki: 1.974352643624634e-05
czas: 0.0011	wynik próbki: 2.389076406855398e-05
czas: 0.0012	wynik próbki: 2.8433413631505963e-05
czas: 0.0013	wynik próbki: 3.3371594276146525e-05
czas: 0.0014	wynik próbki: 3.8705435510697244e-05
czas: 0.0015	wynik próbki: 4.443507719954063e-05
czas: 0.0016	wynik próbki: 5.056066956209417e-05
czas: 0.0017	wynik próbki: 5.708237317156811e-05
czas: 0.0018	wynik próbki: 6.40003589536004e-05
czas: 0.0019	wynik próbki: 7.13148081847607e-05
czas: 0.002	wynik próbki: 7.902591249091617e-05
czas: 0.0021	wynik próbki: 8.713387384544999e-05
czas: 0.0022	wynik próbki: 9.563890456732412e-05
czas: 0.0023	wynik próbki: 0.00010454122731897652
czas: 0.0024	wynik próbki: 0.00011384107510404332
czas: 0.0025	wynik próbki: 0.00012353869126489528
czas: 0.0026	wynik próbki: 0.00013363432947997758
czas: 0.0027	wynik próbki: 0.00014412825376094218
czas: 0.0028	wynik próbki: 0.00015502073844956022
czas: 0.0029	wynik próbki: 0.0001663120682144026
czas: 0.003	wynik próbki: 0.00017800253804727592
czas: 0.0031	wynik próbki: 0.00019009245325940014
czas: 0.0032	wynik próbki: 0.00020258212947731508
czas: 0.0033	wynik próbki: 0.00021547189263850062
czas: 0.0034	wynik próbki: 0.00022876207898669615
czas: 0.0035	wynik próbki: 0.00024245303506690498
czas: 0.0036	wynik próbki: 0.0002565451177200662
czas: 0.0037	wynik próbki: 0.00027103869407738024
czas: 0.0038	wynik próbki: 0.0002859341415542693
czas: 0.0039	wynik próbki: 0.0003012318478439573
czas: 0.004	wynik próbki: 0.00031693221091065056
czas: 0.0041	wynik próbki: 0.00033303563898230183
czas: 0.0042	wynik próbki: 0.00034954255054293936
czas: 0.0043	wynik próbki: 0.00036645337432454183
czas: 0.0044	wynik próbki: 0.0003837685492984388
czas: 0.0045	wynik próbki: 0.0004014885246662181
czas: 0.0046	wynik próbki: 0.00041961375985012005
czas: 0.0047	wynik próbki: 0.00043814472448289556
czas: 0.0048	wynik próbki: 0.00045708189839710895
czas: 0.0049	wynik próbki: 0.0004764257716138631
czas: 0.005	wynik próbki: 0.0004961768443309232
czas: 0.0051	wynik próbki: 0.00051633562691022
czas: 0.0052	wynik próbki: 0.0005369026398647039
czas: 0.0053	wynik próbki: 0.0005578784138445339
czas: 0.0054	wynik próbki: 0.0005792634896225671
czas: 0.0055	wynik próbki: 0.0006010584180791355
czas: 0.0056	wynik próbki: 0.0006232637601860767
czas: 0.0057	wynik próbki: 0.0006458800869899949
czas: 0.0058	wynik próbki: 0.0006689079795947306
czas: 0.0059	wynik próbki: 0.0006923480291430075
czas: 0.006	wynik próbki: 0.0007162008367972297
czas: 0.0061	wynik próbki: 0.0007404670137194074
czas: 0.0062	wynik próbki: 0.0007651471810501785
czas: 0.0063	wynik próbki: 0.0007902419698868982
czas: 0.0064	wynik próbki: 0.0008157520212607707
czas: 0.0065	wynik próbki: 0.000841677986112991
czas: 0.0066	wynik próbki: 0.0008680205252698702
czas: 0.0067	wynik próbki: 0.000894780309416912
czas: 0.0068	wynik próbki: 0.0009219580190718111
czas: 0.0069	wynik próbki: 0.0009495543445563431
czas: 0.007	wynik próbki: 0.0009775699859671135
czas: 0.0071	wynik próbki: 0.001006005653145136
czas: 0.0072	wynik próbki: 0.0010348620656442057
czas: 0.0073	wynik próbki: 0.0010641399526980387
czas: 0.0074	wynik próbki: 0.0010938400531861389
czas: 0.0075	wynik próbki: 0.0011239631155983644
czas: 0.0076	wynik próbki: 0.001154509897998161
czas: 0.0077	wynik próbki: 0.001185481167984419
czas: 0.0078	wynik próbki: 0.0012168777026519315
czas: 0.0079	wynik próbki: 0.0012487002885504103
czas: 0.008	wynik próbki: 0.0012809497216420267
