czas: 0.0	wynik próbki: 3.0
czas: 0.0001	wynik próbki: 2.9995625201239786
czas: 0.0002	wynik próbki: 2.9991386551398844
czas: 0.0003	wynik próbki: 2.9987284021321847
czas: 0.0004	wynik próbki: 2.9983317581851554
czas: 0.0005	wynik próbki: 2.997948720382606
czas: 0.0006	wynik próbki: 2.9975792858074715
czas: 0.0007	wynik próbki: 2.9972234515412786
czas: 0.0008	wynik próbki: 2.9968812146634805
czas: 0.0009	wynik próbki: 2.9965525722506636
czas: 0.001	wynik próbki: 2.99623752137563
czas: 0.0011	wynik próbki: 2.9959360591063438
czas: 0.0012	wynik próbki: 2.9956481825047536
czas: 0.0013	wynik próbki: 2.9953738886254913
czas: 0.0014	wynik próbki: 2.995113174514428
czas: 0.0015	wynik próbki: 2.994866037207122
czas: 0.0016	wynik próbki: 2.9946324737271164
czas: 0.0017	wynik próbki: 2.9944124810841304
czas: 0.0018	wynik próbki: 2.994206056272104
czas: 0.0019	wynik próbki: 2.994013196267127
czas: 0.002	wynik próbki: 2.9938338980252355
czas: 0.0021	wynik próbki: 2.9936681584800793
czas: 0.0022	wynik próbki: 2.993515974540464
czas: 0.0023	wynik próbki: 2.993377343087766
czas: 0.0024	wynik próbki: 2.993252260973216
czas: 0.0025	wynik próbki: 2.9931407250150586
czas: 0.0026	wynik próbki: 2.993042731995587
czas: 0.0027	wynik próbki: 2.992958278658036
czas: 0.0028	wynik próbki: 2.9928873617033718
czas: 0.0029	wynik próbki: 2.992829977786932
czas: 0.003	wynik próbki: 2.9927861235149504
czas: 0.0031	wynik próbki: 2.99275579544095
czas: 0.0032	wynik próbki: 2.9927389900620143
czas: 0.0033	wynik próbki: 2.9927357038149256
czas: 0.0034	wynik próbki: 2.9927459330721793
czas: 0.0035	wynik próbki: 2.9927696741378718
czas: 0.0036	wynik próbki: 2.9928069232434606
czas: 0.0037	wynik próbki: 2.9928576765434
czas: 0.0038	wynik próbki: 2.992921930110647
czas: 0.0039	wynik próbki: 2.9929996799320446
czas: 0.004	wynik próbki: 2.993090921903575
czas: 0.0041	wynik próbki: 2.9931956518254874
czas: 0.0042	wynik próbki: 2.9933138653973073
czas: 0.0043	wynik próbki: 2.9934455582127066
czas: 0.0044	wynik próbki: 2.993590725754258
czas: 0.0045	wynik próbki: 2.993749363388061
czas: 0.0046	wynik próbki: 2.993921466358239
czas: 0.0047	wynik próbki: 2.9941070297813197
czas: 0.0048	wynik próbki: 2.9943060486404773
czas: 0.0049	wynik próbki: 2.9945185177796616
czas: 0.005	wynik próbki: 2.9947444318975975
czas: 0.0051	wynik próbki: 2.9949837855416552
czas: 0.0052	wynik próbki: 2.995236573101604
czas: 0.0053	wynik próbki: 2.9955027888032344
czas: 0.0054	wynik próbki: 2.9957824267018625
czas: 0.0055	wynik próbki: 2.996075480675703
czas: 0.0056	wynik próbki: 2.9963819444191238
czas: 0.0057	wynik próbki: 2.996701811435773
czas: 0.0058	wynik próbki: 2.997035075031587
czas: 0.0059	wynik próbki: 2.9973817283076687
czas: 0.006	wynik próbki: 2.997741764153048
czas: 0.0061	wynik próbki: 2.998115175237318
czas: 0.0062	wynik próbki: 2.998501954003146
czas: 0.0063	wynik próbki: 2.998902092658664
czas: 0.0064	wynik próbki: 2.9993155831697367
czas: 0.0065	wynik próbki: 2.9997424172521083
czas: 0.0066	wynik próbki: 3.0001825863634255
czas: 0.0067	wynik próbki: 3.000636081695139
czas: 0.0068	wynik próbki: 3.001102894164288
czas: 0.0069	wynik próbki: 3.0015830144051563
czas: 0.007	wynik próbki: 3.0020764327608154
czas: 0.0071	wynik próbki: 3.0025831392745417
czas: 0.0072	wynik próbki: 3.0031031236811185
czas: 0.0073	wynik próbki: 3.003636375398011
czas: 0.0074	wynik próbki: 3.004182883516432
czas: 0.0075	wynik próbki: 3.0047426367922796
czas: 0.0076	wynik próbki: 3.0053156236369607
czas: 0.0077	wynik próbki: 3.005901832108096
czas: 0.0078	wynik próbki: 3.0065012499001065
czas: 0.0079	wynik próbki: 3.0071138643346846
czas: 0.008	wynik próbki: 3.007739662351141
czas: 0.0081	wynik próbki: 3.0083786304966478
czas: 0.0082	wynik próbki: 3.0090307549163526
czas: 0.0083	wynik próbki: 3.009696021343384
