czas: 0.0	wynik próbki: 0.0
czas: 0.0001	wynik próbki: 6.798439353555888e-11
czas: 0.0002	wynik próbki: 5.438509554469203e-10
czas: 0.0003	wynik próbki: 1.8353608766623524e-09
czas: 0.0004	wynik próbki: 4.350033427945512e-09
czas: 0.0005	wynik próbki: 8.495025045879386e-09
czas: 0.0006	wynik próbki: 1.467700848680548e-08
czas: 0.0007	wynik próbki: 2.3302052092475675e-08
czas: 0.0008	wynik próbki: 3.477549917492724e-08
czas: 0.0009	wynik próbki: 4.9501847437620885e-08
czas: 0.001	wynik próbki: 6.78846287480324e-08
czas: 0.0011	wynik próbki: 9.032628889963198e-08
czas: 0.0012	wynik próbki: 1.1722806765881875e-07
czas: 0.0013	wynik próbki: 1.4898987908601958e-07
czas: 0.0014	wynik próbki: 1.860101920057693e-07
czas: 0.0015	wynik próbki: 2.2868591078838995e-07
czas: 0.0016	wynik próbki: 2.774122564730705e-07
czas: 0.0017	wynik próbki: 3.3258264817335975e-07
czas: 0.0018	wynik próbki: 3.9458858476642446e-07
czas: 0.0019	wynik próbki: 4.6381952698160876e-07
czas: 0.002	wynik próbki: 5.406627799313618e-07
czas: 0.0021	wynik próbki: 6.255033760329164e-07
czas: 0.0022	wynik próbki: 7.187239581015134e-07
czas: 0.0023	wynik próbki: 8.207046634501231e-07
czas: 0.0024	wynik próbki: 9.318230077667423e-07
czas: 0.0025	wynik próbki: 1.0524537700597384e-06
czas: 0.0026	wynik próbki: 1.1829688778682153e-06
czas: 0.0027	wynik próbki: 1.323737292958955e-06
czas: 0.0028	wynik próbki: 1.4751248976467305e-06
czas: 0.0029	wynik próbki: 1.6374943817800638e-06
czas: 0.003	wynik próbki: 1.8112051302554517e-06
czas: 0.0031	wynik próbki: 1.996613111060986e-06
czas: 0.0032	wynik próbki: 2.1940707640407284e-06
czas: 0.0033	wynik próbki: 2.4039268904703188e-06
czas: 0.0034	wynik próbki: 2.626526542990532e-06
czas: 0.0035	wynik próbki: 2.862210916627557e-06
czas: 0.0036	wynik próbki: 3.1113172402014812e-06
czas: 0.0037	wynik próbki: 3.3741786686209628e-06
czas: 0.0038	wynik próbki: 3.651124176058604e-06
czas: 0.0039	wynik próbki: 3.942478449817061e-06
czas: 0.004	wynik próbki: 4.248561784886381e-06
czas: 0.0041	wynik próbki: 4.569689979434641e-06
czas: 0.0042	wynik próbki: 4.9061742313335395e-06
czas: 0.0043	wynik próbki: 5.2583210351366555e-06
czas: 0.0044	wynik próbki: 5.626432080430013e-06
czas: 0.0045	wynik próbki: 6.010804150597813e-06
czas: 0.0046	wynik próbki: 6.411729023022068e-06
czas: 0.0047	wynik próbki: 6.82949336978287e-06
czas: 0.0048	wynik próbki: 7.2643786595115165e-06
czas: 0.0049	wynik próbki: 7.716661060373132e-06
czas: 0.005	wynik próbki: 8.186611343925716e-06
czas: 0.0051	wynik próbki: 8.674494789855538e-06
czas: 0.0052	wynik próbki: 9.18057109189031e-06
czas: 0.0053	wynik próbki: 9.705094265004298e-06
czas: 0.0054	wynik próbki: 1.0248312553181107e-05
czas: 0.0055	wynik próbki: 1.0810468338877738e-05
czas: 0.0056	wynik próbki: 1.1391798052991224e-05
czas: 0.0057	wynik próbki: 1.1992532086583608e-05
czas: 0.0058	wynik próbki: 1.2612894703207186e-05
czas: 0.0059	wynik próbki: 1.3253103952629238e-05
czas: 0.006	wynik próbki: 1.3913371585915121e-05
czas: 0.0061	wynik próbki: 1.4593902971556199e-05
czas: 0.0062	wynik próbki: 1.5294897012641682e-05
czas: 0.0063	wynik próbki: 1.601654606543186e-05
czas: 0.0064	wynik próbki: 1.675903585945797e-05
czas: 0.0065	wynik próbki: 1.752254541827023e-05
czas: 0.0066	wynik próbki: 1.8307246982189166e-05
czas: 0.0067	wynik próbki: 1.9113305931727158e-05
czas: 0.0068	wynik próbki: 1.9940880712593504e-05
czas: 0.0069	wynik próbki: 2.0790122762227276e-05
czas: 0.007	wynik próbki: 2.1661176437497575e-05
czas: 0.0071	wynik próbki: 2.2554178943569294e-05
czas: 0.0072	wynik próbki: 2.346926026433492e-05
czas: 0.0073	wynik próbki: 2.440654309454558e-05
czas: 0.0074	wynik próbki: 2.5366142772651578e-05
czas: 0.0075	wynik próbki: 2.6348167215869927e-05
czas: 0.0076	wynik próbki: 2.7352716855875233e-05
czas: 0.0077	wynik próbki: 2.837988457676405e-05
czas: 0.0078	wynik próbki: 2.942975565365158e-05
czas: 0.0079	wynik próbki: 3.0502407693587224e-05
czas: 0.008	wynik próbki: 3.1597910577220406e-05
czas: 0.0081	wynik próbki: 3.271632640228244e-05
czas: 0.0082	wynik próbki: 3.3857709428808516e-05
czas: 0.0083	wynik próbki: 3.502210602578896e-05
czas: 0.0084	wynik próbki: 3.620955461845621e-05
czas: 0.0085	wynik próbki: 3.7420085639150344e-05
czas: 0.0086	wynik próbki: 3.865372147715033e-05
czas: 0.0087	wynik próbki: 3.991047643281591e-05
czas: 0.0088	wynik próbki: 4.119035667067553e-05
czas: 0.0089	wynik próbki: 4.249336017618903e-05
czas: 0.009	wynik próbki: 4.38194767132018e-05
czas: 0.0091	wynik próbki: 4.516868778289124e-05
czas: 0.0092	wynik próbki: 4.6540966584575534e-05
czas: 0.0093	wynik próbki: 4.7936277978408903e-05
czas: 0.0094	wynik próbki: 4.935457844949013e-05
czas: 0.0095	wynik próbki: 5.0795816073380215e-05
czas: 0.0096	wynik próbki: 5.225993048352902e-05
czas: 0.0097	wynik próbki: 5.374685284075983e-05
czas: 0.0098	wynik próbki: 5.5256505803690064e-05
czas: 0.0099	wynik próbki: 5.6788803501216014e-05
czas: 0.01	wynik próbki: 5.834365150695927e-05
czas: 0.0101	wynik próbki: 5.992094681517355e-05
czas: 0.0102	wynik próbki: 6.1520577818107e-05
czas: 0.0103	wynik próbki: 6.31424242853435e-05
czas: 0.0104	wynik próbki: 6.47863573451429e-05
czas: 0.0105	wynik próbki: 6.645223946739663e-05
czas: 0.0106	wynik próbki: 6.813992444725684e-05
czas: 0.0107	wynik próbki: 6.98492573929213e-05
czas: 0.0108	wynik próbki: 7.158007471209604e-05
czas: 0.0109	wynik próbki: 7.333220410345286e-05
czas: 0.011	wynik próbki: 7.510546454674308e-05
czas: 0.0111	wynik próbki: 7.689966629712833e-05
czas: 0.0112	wynik próbki: 7.871461088020812e-05
czas: 0.0113	wynik próbki: 8.055009108868628e-05
czas: 0.0114	wynik próbki: 8.240589098109762e-05
czas: 0.0115	wynik próbki: 8.42817858827513e-05
czas: 0.0116	wynik próbki: 8.617754238748695e-05
czas: 0.0117	wynik próbki: 8.809291836235588e-05
czas: 0.0118	wynik próbki: 9.002766295297259e-05
czas: 0.0119	wynik próbki: 9.198151659180816e-05
czas: 0.012	wynik próbki: 9.39542110071487e-05
czas: 0.0121	wynik próbki: 9.594546923501113e-05
czas: 0.0122	wynik próbki: 9.795500563186354e-05
czas: 0.0123	wynik próbki: 9.998252588958728e-05
czas: 0.0124	wynik próbki: 0.00010202772705254888
czas: 0.0125	wynik próbki: 0.00010409029753634661
czas: 0.0126	wynik próbki: 0.00010616991714718931
czas: 0.0127	wynik próbki: 0.00010826625710575083
czas: 0.0128	wynik próbki: 0.00011037898006943843
czas: 0.0129	wynik próbki: 0.00011250774016004144
czas: 0.013	wynik próbki: 0.00011465218298977077
czas: 0.0131	wynik próbki: 0.00011681194569180036
czas: 0.0132	wynik próbki: 0.00011898665695143242
czas: 0.0133	wynik próbki: 0.00012117593703892114
czas: 0.0134	wynik próbki: 0.00012337939784440798
czas: 0.0135	wynik próbki: 0.00012559664291497365
czas: 0.0136	wynik próbki: 0.00012782726749319698
czas: 0.0137	wynik próbki: 0.00013007085855721158
czas: 0.0138	wynik próbki: 0.00013232699486286897
czas: 0.0139	wynik próbki: 0.00013459524698816635
czas: 0.014	wynik próbki: 0.00013687517737854721
czas: 0.0141	wynik próbki: 0.0001391663403944548
czas: 0.0142	wynik próbki: 0.00014146828236098635
czas: 0.0143	wynik próbki: 0.00014378054161902422
czas: 0.0144	wynik próbki: 0.00014610264857783435
czas: 0.0145	wynik próbki: 0.00014843412576975013
czas: 0.0146	wynik próbki: 0.00015077448790694104
czas: 0.0147	wynik próbki: 0.00015312324193963493
czas: 0.0148	wynik próbki: 0.0001554798871157852
czas: 0.0149	wynik próbki: 0.00015784391504296085
czas: 0.015	wynik próbki: 0.00016021480975151177
czas: 0.0151	wynik próbki: 0.00016259204776089648
czas: 0.0152	wynik próbki: 0.00016497509814505806
czas: 0.0153	wynik próbki: 0.00016736342260221214
czas: 0.0154	wynik próbki: 0.00016975647552509182
czas: 0.0155	wynik próbki: 0.00017215370407274306
czas: 0.0156	wynik próbki: 0.00017455454824434063
czas: 0.0157	wynik próbki: 0.00017695844095517695
czas: 0.0158	wynik próbki: 0.00017936480811322393
czas: 0.0159	wynik próbki: 0.00018177306869864636
czas: 0.016	wynik próbki: 0.00018418263484370866
czas: 0.0161	wynik próbki: 0.00018659291191561693
czas: 0.0162	wynik próbki: 0.00018900329859973387
czas: 0.0163	wynik próbki: 0.00019141318698571007
czas: 0.0164	wynik próbki: 0.000193821962654127
czas: 0.0165	wynik próbki: 0.00019622900476523724
czas: 0.0166	wynik próbki: 0.0001986336861496322
czas: 0.0167	wynik próbki: 0.00020103537340018804
czas: 0.0168	wynik próbki: 0.00020343342696527522
czas: 0.0169	wynik próbki: 0.0002058272012438629
czas: 0.017	wynik próbki: 0.000208216044682664
czas: 0.0171	wynik próbki: 0.00021059929987371086
czas: 0.0172	wynik próbki: 0.00021297630365474683
czas: 0.0173	wynik próbki: 0.00021534638721002272
czas: 0.0174	wynik próbki: 0.00021770887617308487
czas: 0.0175	wynik próbki: 0.00022006309073138028
czas: 0.0176	wynik próbki: 0.00022240834573202624
czas: 0.0177	wynik próbki: 0.0002247439507887315
czas: 0.0178	wynik próbki: 0.00022706921039049468
czas: 0.0179	wynik próbki: 0.00022938342401222076
czas: 0.018	wynik próbki: 0.0002316858862256521
czas: 0.0181	wynik próbki: 0.0002339758868129842
czas: 0.0182	wynik próbki: 0.00023625271088060834
czas: 0.0183	wynik próbki: 0.00023851563897550615
czas: 0.0184	wynik próbki: 0.00024076394720190083
czas: 0.0185	wynik próbki: 0.00024299690733973637
czas: 0.0186	wynik próbki: 0.0002452137869648065
czas: 0.0187	wynik próbki: 0.0002474138495698847
czas: 0.0188	wynik próbki: 0.00024959635468684287
czas: 0.0189	wynik próbki: 0.00025176055801037143
czas: 0.019	wynik próbki: 0.00025390571152343616
czas: 0.0191	wynik próbki: 0.00025603106362288977
czas: 0.0192	wynik próbki: 0.00025813585924756735
czas: 0.0193	wynik próbki: 0.00026021934000635023
czas: 0.0194	wynik próbki: 0.00026228074430867225
czas: 0.0195	wynik próbki: 0.00026431930749511666
czas: 0.0196	wynik próbki: 0.00026633426196964315
czas: 0.0197	wynik próbki: 0.00026832483733326383
czas: 0.0198	wynik próbki: 0.0002702902605185316
czas: 0.0199	wynik próbki: 0.0002722297559248282
czas: 0.02	wynik próbki: 0.00027414254555504597
czas: 0.0201	wynik próbki: 0.00027602784915379104
czas: 0.0202	wynik próbki: 0.00027788488434556563
czas: 0.0203	wynik próbki: 0.00027971286677519274
czas: 0.0204	wynik próbki: 0.0002815110102481839
czas: 0.0205	wynik próbki: 0.00028327852687240116
czas: 0.0206	wynik próbki: 0.0002850146272018794
czas: 0.0207	wynik próbki: 0.0002867185203790452
czas: 0.0208	wynik próbki: 0.0002883894142805553
czas: 0.0209	wynik próbki: 0.0002900265156620949
czas: 0.021	wynik próbki: 0.00029162903030524736
czas: 0.0211	wynik próbki: 0.0002931961631649211
czas: 0.0212	wynik próbki: 0.00029472711851644535
czas: 0.0213	wynik próbki: 0.0002962211001061167
czas: 0.0214	wynik próbki: 0.0002976773112993239
czas: 0.0215	wynik próbki: 0.0002990949552320711
czas: 0.0216	wynik próbki: 0.0003004732349620799
czas: 0.0217	wynik próbki: 0.00030181135362033714
czas: 0.0218	wynik próbki: 0.00030310851456449156
czas: 0.0219	wynik próbki: 0.000304363921531079
czas: 0.022	wynik próbki: 0.000305576778790963
czas: 0.0221	wynik próbki: 0.0003067462913029962
czas: 0.0222	wynik próbki: 0.00030787166486943434
czas: 0.0223	wynik próbki: 0.0003089521062922076
czas: 0.0224	wynik próbki: 0.0003099868235287856
czas: 0.0225	wynik próbki: 0.00031097502584968953
czas: 0.0226	wynik próbki: 0.00031191592399555494
czas: 0.0227	wynik próbki: 0.00031280873033510476
czas: 0.0228	wynik próbki: 0.0003136526590238594
czas: 0.0229	wynik próbki: 0.0003144469261630138
czas: 0.023	wynik próbki: 0.00031519074995847035
czas: 0.0231	wynik próbki: 0.00031588335088053983
czas: 0.0232	wynik próbki: 0.0003165239518244034
czas: 0.0233	wynik próbki: 0.00031711177826999806
czas: 0.0234	wynik próbki: 0.0003176460584432726
czas: 0.0235	wynik próbki: 0.0003181260234766964
czas: 0.0236	wynik próbki: 0.0003185509075710741
czas: 0.0237	wynik próbki: 0.00031891994815670265
czas: 0.0238	wynik próbki: 0.0003192323860551392
czas: 0.0239	wynik próbki: 0.0003194874656414127
czas: 0.024	wynik próbki: 0.00031968443500614475
czas: 0.0241	wynik próbki: 0.0003198225461175714
czas: 0.0242	wynik próbki: 0.0003199010549839342
czas: 0.0243	wynik próbki: 0.00031991922181632567
czas: 0.0244	wynik próbki: 0.0003198763111907461
czas: 0.0245	wynik próbki: 0.00031977159221117235
czas: 0.0246	wynik próbki: 0.000319604338671793
czas: 0.0247	wynik próbki: 0.0003193738292194836
czas: 0.0248	wynik próbki: 0.0003190793475171712
czas: 0.0249	wynik próbki: 0.00031872018240514897
czas: 0.025	wynik próbki: 0.00031829562806439873
czas: 0.0251	wynik próbki: 0.0003178049841782906
czas: 0.0252	wynik próbki: 0.0003172475560950559
czas: 0.0253	wynik próbki: 0.00031662265498985247
czas: 0.0254	wynik próbki: 0.0003159295980257572
czas: 0.0255	wynik próbki: 0.0003151677085165176
czas: 0.0256	wynik próbki: 0.00031433631608663844
czas: 0.0257	wynik próbki: 0.0003134347568331624
czas: 0.0258	wynik próbki: 0.00031246237348626644
czas: 0.0259	wynik próbki: 0.0003114185155693295
czas: 0.026	wynik próbki: 0.00031030253955937806
czas: 0.0261	wynik próbki: 0.00030911380904641707
czas: 0.0262	wynik próbki: 0.0003078516948926681
czas: 0.0263	wynik próbki: 0.0003065155753916705
czas: 0.0264	wynik próbki: 0.00030510483642621464
czas: 0.0265	wynik próbki: 0.0003036188716265843
czas: 0.0266	wynik próbki: 0.00030205708252749433
czas: 0.0267	wynik próbki: 0.0003004188787252642
czas: 0.0268	wynik próbki: 0.0002987036780337458
czas: 0.0269	wynik próbki: 0.0002969109066399497
czas: 0.027	wynik próbki: 0.00029503999925922943
czas: 0.0271	wynik próbki: 0.0002930903992896231
czas: 0.0272	wynik próbki: 0.0002910615589653453
czas: 0.0273	wynik próbki: 0.0002889529395097622
czas: 0.0274	wynik próbki: 0.00028676401128789337
czas: 0.0275	wynik próbki: 0.000284494253957549
czas: 0.0276	wynik próbki: 0.0002821431566203747
czas: 0.0277	wynik próbki: 0.0002797102179714081
czas: 0.0278	wynik próbki: 0.00027719494644846943
czas: 0.0279	wynik próbki: 0.00027459686038003376
czas: 0.028	wynik próbki: 0.00027191548813286184
czas: 0.0281	wynik próbki: 0.0002691503682581562
czas: 0.0282	wynik próbki: 0.0002663010496370247
czas: 0.0283	wynik próbki: 0.0002633670916251982
czas: 0.0284	wynik próbki: 0.00026034806419622774
czas: 0.0285	wynik próbki: 0.0002572435480842625
czas: 0.0286	wynik próbki: 0.00025405313492519663
czas: 0.0287	wynik próbki: 0.00025077642739732264
czas: 0.0288	wynik próbki: 0.0002474130393603256
czas: 0.0289	wynik próbki: 0.00024396259599371
czas: 0.029	wynik próbki: 0.00024042473393360073
czas: 0.0291	wynik próbki: 0.0002367991014085875
czas: 0.0292	wynik próbki: 0.00023308535837448954
czas: 0.0293	wynik próbki: 0.00022928317664776696
czas: 0.0294	wynik próbki: 0.0002253922400375671
czas: 0.0295	wynik próbki: 0.0002214122444766294
czas: 0.0296	wynik próbki: 0.00021734289815105958
czas: 0.0297	wynik próbki: 0.00021318392162838034
czas: 0.0298	wynik próbki: 0.00020893504798468748
